date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:28	67/67	---MC-	200	added ('OK')	text/plain	date:Mon,%2010%20Aug%202020%2009:22:28%20GMT	http://89e.tjvdh.nl/robots.txt		(from )
10:22:29	9717/9717	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2009:22:29%20GMT	http://89e.tjvdh.nl/	C:/Projects/89e/89e/89e.tjvdh.nl/index.html	(from )
10:22:30	144219/144219	---M--	200	added ('OK')	text/css	etag:%222340a4a-2335b-57450bff0fa80%22	http://89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/css/app.css?ver=2.10.4	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/css/appe776.css	(from http://89e.tjvdh.nl/)
10:22:31	4230/4230	---MC-	200	added ('OK')	application/json	date:Mon,%2010%20Aug%202020%2009:22:31%20GMT	http://89e.tjvdh.nl/wp-json/oembed/1.0/embed?url=http%3A%2F%2F89e.tjvdh.nl%2F	C:/Projects/89e/89e/89e.tjvdh.nl/wp-json/oembed/1.0/embed8915.json	(from http://89e.tjvdh.nl/)
10:22:32	3976/3976	---MC-	200	added ('OK')	text/xml	date:Mon,%2010%20Aug%202020%2009:22:31%20GMT	http://89e.tjvdh.nl/wp-json/oembed/1.0/embed?url=http%3A%2F%2F89e.tjvdh.nl%2F&format=xml	C:/Projects/89e/89e/89e.tjvdh.nl/wp-json/oembed/1.0/embede104	(from http://89e.tjvdh.nl/)
10:22:36	28695/28695	---M--	200	added ('OK')	image/jpeg	etag:%222340979-7017-57486e0fde380%22	http://89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/7.jpg	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/7.jpg	(from http://89e.tjvdh.nl/)
10:22:36	9607/9607	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202020%2009:22:36%20GMT	http://89e.tjvdh.nl/nl/	C:/Projects/89e/89e/89e.tjvdh.nl/nl/index.html	(from http://89e.tjvdh.nl/)
10:22:40	52739/52739	---MC-	200	added ('OK')	application/json	date:Mon,%2010%20Aug%202020%2009:22:31%20GMT	http://89e.tjvdh.nl/wp-json/	C:/Projects/89e/89e/89e.tjvdh.nl/wp-json/index.html	(from http://89e.tjvdh.nl/)
10:22:42	40164/40164	---M--	200	added ('OK')	image/jpeg	etag:%222341082-9ce4-57486e1509f44%22	http://89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/5.jpg	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/5.jpg	(from http://89e.tjvdh.nl/)
10:22:47	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js?ver=3.2.1	C:/Projects/89e/89e/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.mindeae.js	(from http://89e.tjvdh.nl/)
10:22:48	114432/114432	---M--	200	added ('OK')	image/jpeg	etag:%22234107a-1bf00-57486e1321ea5%22	http://89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/6.jpg	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/6.jpg	(from http://89e.tjvdh.nl/)
10:22:51	73114/73114	---M--	200	added ('OK')	image/jpeg	etag:%22234108a-11d9a-57486e16a12ea%22	http://89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/4.jpg	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/4.jpg	(from http://89e.tjvdh.nl/)
10:22:53	12575/12575	---M--	200	added ('OK')	image/png	etag:%222340b1d-311f-57493c1801746%22	http://89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/floorplanEnlarge.png	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/floorplanEnlarge.png	(from http://89e.tjvdh.nl/)
10:22:53	33533/33533	---M--	200	added ('OK')	image/jpeg	etag:%22234109a-82fd-57486e1b0e3e3%22	http://89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/2.jpg	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/2.jpg	(from http://89e.tjvdh.nl/)
10:22:53	70983/70983	---M--	200	added ('OK')	image/jpeg	etag:%222341092-11547-57486e18de2eb%22	http://89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/3.jpg	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/3.jpg	(from http://89e.tjvdh.nl/)
10:22:54	3141/3141	---M--	200	added ('OK')	application/javascript	etag:%222340462-c45-558b1f193bc40%22	http://89e.tjvdh.nl/wp-includes/js/wp-embed.js?ver=4.9.8	C:/Projects/89e/89e/89e.tjvdh.nl/wp-includes/js/wp-embed5010.js	(from http://89e.tjvdh.nl/)
10:22:55	4016/4016	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222340a56-fb0-57450edb7ba80%22	http://89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/fonts/icons/icomoon.eot?hypl6a	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/fonts/icons/icomoon29e4.eot	(from http://89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/css/app.css?ver=2.10.4)
10:22:56	3852/3852	---M--	200	added ('OK')	font/ttf	etag:%222340a58-f0c-57450edb7ba80%22	http://89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/fonts/icons/icomoon.ttf?hypl6a	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/fonts/icons/icomoon29e4.ttf	(from http://89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/css/app.css?ver=2.10.4)
10:22:57	3928/3928	---M--	200	added ('OK')	font/woff	etag:%222340a59-f58-57450edb7ba80%22	http://89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/fonts/icons/icomoon.woff?hypl6a	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/fonts/icons/icomoon29e4.woff	(from http://89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/css/app.css?ver=2.10.4)
10:22:57	11818/11818	---M--	200	added ('OK')	image/svg+xml	etag:%222340a57-2e2a-57450edb7ba80%22	http://89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/fonts/icons/icomoon.svg?hypl6a	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/fonts/icons/icomoon29e4.svg	(from http://89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/css/app.css?ver=2.10.4)
10:22:58	73/73	---MC-	404	error ('Not%20Found')	application/json	date:Mon,%2010%20Aug%202020%2009:22:58%20GMT	http://89e.tjvdh.nl/wp-json/oembed/1.0/embed?url=http%3A%2F%2F89e.tjvdh.nl%2Fnl%2F	C:/Projects/89e/89e/89e.tjvdh.nl/wp-json/oembed/1.0/embed0144	(from http://89e.tjvdh.nl/nl/)
10:22:58	132/132	---MC-	404	error ('Not%20Found')	text/xml	date:Mon,%2010%20Aug%202020%2009:22:58%20GMT	http://89e.tjvdh.nl/wp-json/oembed/1.0/embed?url=http%3A%2F%2F89e.tjvdh.nl%2Fnl%2F&format=xml	C:/Projects/89e/89e/89e.tjvdh.nl/wp-json/oembed/1.0/embedfa22	(from http://89e.tjvdh.nl/nl/)
10:23:00	12575/12575	---M--	200	added ('OK')	image/png	etag:%222340b20-311f-57493c5b45fa9%22	http://89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/floorplanEnlarge-1.png	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/floorplanEnlarge-1.png	(from http://89e.tjvdh.nl/nl/)
10:23:03	72672/72672	---M--	200	added ('OK')	image/jpeg	etag:%222340a5c-11be0-57493bcacdb53%22	http://89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/floorplan.jpg	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/floorplan.jpg	(from http://89e.tjvdh.nl/)
10:23:07	140918/140918	---M--	200	added ('OK')	image/jpeg	etag:%2223410a2-22676-57486e1d2854b%22	http://89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/1.jpg	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/uploads/sites/2/2018/08/1.jpg	(from http://89e.tjvdh.nl/)
10:23:09	161666/161666	---M--	200	added ('OK')	application/javascript	etag:%222340a55-27782-5749a58411880%22	http://89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/js/app.js?ver=2.10.4	C:/Projects/89e/89e/89e.tjvdh.nl/wp-content/themes/TJVDH/dist/assets/js/appe776.js	(from http://89e.tjvdh.nl/)
